municipality,name,facility_type,address,neighborhood,cep,phone,email,opening_hours,categories,source
Carmo do Paranaíba,CREAS Carmo do Paranaíba,CREAS,"Alameda Norte/sul, 570",Morro Grande,38846-271,(34) 38510039,creas@carmodoparanaiba.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Carmo do Rio Claro,CREAS Carmo do Rio Claro,CREAS,"Rua Irmãs da Providencia, 81",Centro,37150-000,(35) 35612040,creas@carmodorioclaro.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cássia,CREAS Sarah Lemos Silveira (Cássia),CREAS,"Avenida Idelfonso Del Bianco, 540",Jardim Planalto,37980-000,(35) 997216506,creascassia@cassia.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cataguases,CREAS Cataguases,CREAS,"Avenida Astolfo Dutra, 751",Centro,36774-001,(32) 34213133,creascataguases@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Catuji,CREAS Catuji,CREAS,Avenida Emilia Lopes,Cidade Nova,39816-000,(33) 000000000,social@catuji.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Caxambu,CREAS Robson Esterque de Menezes (Caxambu),CREAS,"Avenida Barão do Rio Branco, s/n",Centro,37440-000,(35) 33410745,creas@caxambu.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cedro do Abaeté,CREAS Cedro do Abaeté,CREAS,"Avenida Coronel Francisco Guimaraes, 8",Centro,35624-000,(37) 998433468,creas@cedrodoabaete.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Chapada Gaúcha,CREAS Chapada Gaúcha,CREAS,"Rua Idearte Alves de Souza, 525",Centro,38689-000,(38) 998981404,protecaoespecialcg@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cláudio,CREAS Maria Rosária Prado Gregório (Cláudio),CREAS,"Rua Goias, 671",Rosário,35530-000,(37) 33811318,creas@claudio.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Conceição das Alagoas,"CREAS ""monica Maria Silva Sousa"" (Conceição das Alagoas)",CREAS,"Praça Jazinho Vieira de Souza, 70",Dr. Jose Borges de Sene,38120-000,(34) 33210605,protecaosocialespecial@conceicaodasalagoas.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Conceição do Mato Dentro,CREAS Conceição do Mato Dentro,CREAS,"Rua Dr.basilio Santiago, 86",Centro,35860-000,(31) 38681335,creas@cmd.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Conceição do Rio Verde,CREAS Conceição do Rio Verde,CREAS,"Avenida Prefeito Dilermando de Oliveira, 280",Centro,37430-000,(35) 920017643,creascrv2025@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Confins,CREAS Confins,CREAS,"Rua São José, 287",Centro,33500-000,(31) 36656528,creas@confins.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Congonhas,CREAS Congonhas,CREAS,"Rua José Pedro de Freitas, 132",Zé Arigó,36410-306,(31) 37320628,creas@congonhas.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Conselheiro Lafaiete,CREAS Conselheiro Lafaiete,CREAS,"Rua Barão de Suassuí, 359",Santa Efigênia,36400-130,(31) 37649805,creas@conselheirolafaiete.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Conselheiro Pena,CREAS Conselheiro Pena,CREAS,"Rua Antonio Aprígio, 709",Centro,35240-000,(33) 984008595,creasconselheiropena@hotmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Contagem,CREAS Contagem,CREAS,"Avenida José Faria da Rocha, 4687",Eldorado,32310-210,(31) 33525687,creas.eldorado@contagem.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Contagem,CREAS Contagem - Fonte Grande,CREAS,"Rua Benjamin Constant de Oliveira, 77",Fonte Grande,32013-560,(31) 33916472,creas.sedecontagem@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Contagem,CREAS Contagem - Retiro,CREAS,"Avenida Retiro dos Imigrantes, 680",Retiro,32050-710,(31) 33922830,coordenacaocreasvf@yahoo.com.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Contagem,CREAS Contagem - Arvoredo,CREAS,"Rua Magnólia, 100",Arvoredo,32113-170,(31) 39138018,creasressacanacional@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coração de Jesus,CREAS Coração de Jesus,CREAS,"Rua Nozinho Prates, 1203",Sagrada Família,39340-000,(38) 32282124,ccreas@yahoo.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cordisburgo,CREAS Cordisburgo,CREAS,"Rua Prefeito José Maquiné, 687",Centro,35780-000,(31) 37151387,assistenciasocial@cordisburgo.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Corinto,CREAS Corinto,CREAS,"Rua Coronel Ricardo Gregorio, 589",Centro,39200-000,(38) 999157860,creascorinto@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coroaci,CREAS Coroaci,CREAS,"Rua Oscar Vieira, 80",Centro,39710-000,(33) 988560989,creas@coroaci.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coromandel,CREAS Coromandel,CREAS,"Rua Egidio Machado, 1486",Vila Branca,38550-000,(34) 38411990,creas@coromandel.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coronel Fabriciano,CREAS Coronel Fabriciano,CREAS,"Avenida Julita Pires Bretas, 20",Santa Helena,35170-026,(31) 34067399,creas@fabriciano.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Coronel Murta,CREAS José Rodrigues Sousa (Coronel Murta),CREAS,"Avenida Celso Murta, 222",Centro,39635-000,(33) 37351246,acaosocialcm@yahoo.com.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Crisólita,CREAS Crisólita,CREAS,"Praça José Quaresma da Costa, 8",Centro,39885-000,(33) 988372151,pse@crisolita.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cristina,CREAS Cristina,CREAS,"Rua Governador Valadares, 12",Centro,37476-000,(35) 32811520,smaps@cristina.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cruzília,CREAS Cruzília,CREAS,"Rua Professor Pedro Ferreira de Souza, 25",Centro,37445-000,(35) 991561243,creas@cruzilia.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Cuparaque,CREAS Cuparaque,CREAS,"Rua Joaquim Ribeiro de Castro, 106",Centro,35246-000,(33) 998784558,creascuparaue@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Curvelo,CREAS Curvelo,CREAS,"Rua Desembargador Barata, 100",Centro,35790-303,(38) 37228837,creascvo@yahoo.com.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Diamantina,CREAS Diamantina,CREAS,"Avenida Sílvio Felício dos Santos, 170",Largo Dom João,39100-000,(38) 998849260,creas@diamantina.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divino,CREAS Antonio de Souza Viana (Divino),CREAS,"Rua Atratino Victor de Oliveira, 390",Givisiez,36820-000,(32) 37430624,creasdivino13@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divino das Laranjeiras,CREAS Divino das Laranjeiras,CREAS,"Rua Euzebio Miranda, 133",Centro,35265-000,(33) 398232703,divinolaranjeiras@hotmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divinópolis,CREAS Kassiane Rodrigues Maia (Divinópolis),CREAS,"Rua Sergipe, 1179",Centro,35500-000,(37) 32299790,creasdivinopolis@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divisa Alegre,CREAS Divisa Alegre,CREAS,"Avenida Dona Teca, 598",Centro,39995-000,(33) 999864027,creasda2017@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Divisópolis,CREAS Divisópolis,CREAS,"Praça Pra Manfredo Ferreira de Souza, 210",Centro,39912-000,(33) 984159630,creas@divisopolis.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Dom Cavati,CREAS Dom Cavati,CREAS,"Rua Oswaldo Cruz, 134",Centro,35148-000,(33) 988275286,creas@domcavati.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Dom Joaquim,CREAS Dom Joaquim,CREAS,"Rua Bento de Almeida Costa, 116",Centro,35865-000,(31) 38661212,ASSISTENCIASOCIAL@DOMJOAQUIM.MG.GOV.BR,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Dores do Indaiá,CREAS Dores do Indaiá,CREAS,"Rua São Paulo, 279",Centro,35610-000,(37) 35516252,psedoresdoindaia@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Elói Mendes,CREAS Elói Mendes,CREAS,"Rua Benjamin Constant, 460",Centro,37110-000,(35) 32642614,creasadm@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Engenheiro Caldas,CREAS Engenheiro Caldas,CREAS,"Avenida Padre João Pina do Amaral, 384",Centro,35130-000,(33) 99160681,social@engenheirocaldas.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Engenheiro Navarro,CREAS Neli Terezinha Prates Silva (Engenheiro Navarro),CREAS,"Praça João Paulo Segundo, 106",Centro,39363-000,(38) 997222840,creas@engenheironavarro.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Entre Folhas,CREAS Entre Folhas,CREAS,"Avenida Paulo Guerra, 95",Barreira,35324-000,(33) 33246162,crasfolhas.mg@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Esmeraldas,CREAS Esmeraldas,CREAS,"Rua Francisco de Assis Vieira do Carmo, 180",Belvedere,32800-173,(31) 21186241,creasesmeraldas@yahoo.com.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Espera Feliz,CREAS Paulo Lopes Braga (Espera Feliz),CREAS,"Rua Ananias Rodrigues Ferreira, 105",Centro,36830-000,(32) 984863570,creasef19@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Espinosa,CREAS Panorama (Espinosa),CREAS,"Rua Verissimo Cruz, 371",Panorama,39510-000,(38) 992577997,creasespinosa@yahoo.com.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Estiva,CREAS Estiva,CREAS,"Rua Professora Daria Bueno, 320",Centro,37542-000,(35) 34621178,acaosocial@estiva.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Extrema,CREAS Extrema,CREAS,"Estrada Municipal Fazenda Fabiano, 139",Ponte Nova,37640-000,(35) 34356009,creas@extrema.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Felício dos Santos,CREAS Municipal Felício dos Santos (Felício dos Santos),CREAS,"Rua Antonio Jorge, 18",Centro,39180-000,(38) 35231301,psefelicio.18@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Fervedouro,CREAS Fervedouro,CREAS,"Avenida Maria Amelia de Souza Pedrosa, 478",Centro,36815-000,(32) 37421103,creasfervedouro@yahoo.com.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Florestal,CREAS Florestal,CREAS,"Rua Alfredo Andrade, 326",Centro,35690-000,(31) 35363089,assistenciasocial@florestal.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Formiga,CREAS Formiga,CREAS,"Rua Antonio Joaquim Rangel, 75",São Geraldo,35576-212,(37) 33291806,creasformiga@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Francisco Dumont,CREAS Francisco Dumont,CREAS,"Rua Escrivães de Paz, 82",Centro,39387-000,(38) 998933386,psefranciscodumont@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Francisco Sá,CREAS Francisco Sá,CREAS,"Avenida Getúlio Vargas, 999",Centro,39580-000,(38) 999894775,creasfranciscosa2013@yahoo.com.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Frei Inocêncio,CREAS Frei Inocêncio,CREAS,"Avenida Prefeito Pedro Lima de Almeida, 520",Centro,35112-000,(33) 984199849,assistenciasocialfi@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Frei Lagonegro,CREAS Municipal de Frei Lagonegro (Frei Lagonegro),CREAS,"Rua da Quadra, 30",Centro,39708-000,(33) 999094659,creasmunicipalfrei@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Frutal,CREAS Frutal,CREAS,"Rua Prefeito Joao Carlos Ribeiro, 650",Jardim das Laranjeiras,38204-132,(34) 34238056,creas@frutal.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Gameleiras,CREAS Cezaria Francisca do Rosario (Gameleiras),CREAS,"Av. Nicolau Antunes, 9",Centro,39505-000,(38) 38119143,smasgameleiras@yahoo.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Goiabeira,CREAS Goiabeira,CREAS,"Rua Francisca de Souza Garcia, 92",Centro,35248-000,(33) 999356528,creas@goiabeira.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Gonzaga,CREAS Gonzaga,CREAS,"Rua Antônio Perpétuo, 461",Centro,39720-000,(33) 984214711,creasgonzagamg@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Governador Valadares,CREAS Governador Valadares,CREAS,"Rua Afonso Pena, 2343",Centro,35010-000,(33) 32219551,smas.creas@valadares.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Grão Mogol,CREAS Grão Mogol,CREAS,"Rua Nelson Evaristo Santana, 100",Bom Gosto,39570-000,(38) 997333361,creas@graomogol.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Guanhães,CREAS Guanhães,CREAS,"Rua Benjanim Constant, 15",Expansão,39740-000,(33) 34211408,creasguanhaes@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Guaraciama,CREAS Guaraciama,CREAS,"Rua Manoel Gonçalves do Nascimento, 22",Francisco da Silva Maia,39397-000,(38) 32518334,creasguaraciama@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Guarda-Mor,CREAS Guarda-Mor,CREAS,"Rua Uberaba, 105",Centro,38570-000,(38) 999674303,epsemc@guardamor.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Guaxupé,CREAS Guaxupé,CREAS,"Travessa Alvaro Toledo, 23",Centro,37800-000,(35) 35591138,creas@guaxupe.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Guiricema,CREAS Guiricema,CREAS,"Rua Doutor Celso Machado, 50",Centro,36525-000,(32) 99861360,creas@guiricema.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ibiá,CREAS Ibiá,CREAS,"Rua 237.0, 130",Jardim,38950-000,(34) 36314999,creas@ibia.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ibiaí,CREAS Ibiaí,CREAS,"Rua Floresta, 439",Centro,39350-000,(38) 998682636,creasibiai@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ibirité,CREAS I (Ibirité),CREAS,"Rua João Carvalho Drumond, 97",Vila Nova Esperança,32400-000,(31) 20103600,creasibirite@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ibirité,CREAS Ii (Ibirité),CREAS,"Rua Décio Cardoso, 111",Bela Vista,32421-000,(31) 20103609,creas@ibirite.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ibituruna,CREAS Ibituruna,CREAS,"Praça dos Bandeirantes, 164",Centro,37223-000,(35) 997307802,acaosocial@ibituruna.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Igarapé,CREAS Igarapé,CREAS,"Rua Primeiro de Maio, 251",Centro,32510-028,(31) 35345561,creas@social.igarape.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Inhapim,CREAS Inhapim,CREAS,"Rua Coronel Guilherme, 17",Centro,35330-000,(33) 33152646,creas_inhapim@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ipanema,CREAS Ipanema,CREAS,"Rua Eugênio Nicolato Neto, 120",Morada do Sol,36950-000,(33) 33141216,creas@ipanema.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ipatinga,CREAS Ipatinga,CREAS,"Rua Pouso Alegre, 34",Centro,35160-036,(31) 38298453,creas.pmi@ipatinga.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ipuiúna,CREAS Luiz de Carvalho (Ipuiúna),CREAS,"Rua Clotildes Alves Santana, 43",Centro,37588-000,(35) 984287076,creasipuiuna@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itabira,CREAS Itabira,CREAS,"Rua da Cultura, 100",Centro,35900-522,(31) 38392000,creas.smas@itabira.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itabirito,CREAS Itabirito,CREAS,"Rua Anita de Carvalho Sans, 121",Praia,35450-222,(31) 35614080,creasatendimento@pmi.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itacarambi,CREAS Itacarambi,CREAS,"Rua 31 de Dezembro, 177",Centro,39470-000,(38) 36131588,creasitac@hotmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itaguara,CREAS Irene Maria Pereira (Itaguara),CREAS,"Rua Francisco Hilário, 27",Caiapó de Almeida,35488-000,(31) 31916134,creas@itaguara.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itaipé,CREAS Itaipé,CREAS,"Rua Joao Batista, 81",Centro,39815-000,(33) 999220364,creasitaipe@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itajubá,CREAS Vereador Geraldo José Canha (Itajubá),CREAS,"Rua Carlos Fernando Masseli, 9",Nossa Sra. da Agonia,37500-187,(35) 999308572,creas@itajuba.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itamarandiba,CREAS Itamarandiba,CREAS,"Rua Nossa Senhora de Lourdes, 49",Centro,39670-000,(38) 35211580,creasitamarandiba@yahoo.com.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itamarati de Minas,CREAS Itamarati de Minas,CREAS,"Avenida Coronel Araujo Porto, 10",Centro,36788-000,(32) 999973603,isabelaita@hotmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itambacuri,CREAS Itambacuri,CREAS,"Praça doutor celso borges cordeiro, 22",Centro,39830-000,(33) 35112611,assistenciasocial2017@outlook.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itamogi,CREAS Itamogi,CREAS,"Rua Adolfo Jose de Campos, s/n",Centro,37973-000,(35) 998592623,creas@itamogi.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itaobim,CREAS 1 (Itaobim),CREAS,"Rua Piaui, 231",Centro,39625-000,(33) 37343652,creas@itaobim.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itapecerica,CREAS Irmã Carolina da Silva (Itapecerica),CREAS,"Rua Coronel Leopoldo, 162",Centro,35550-000,(37) 998283026,diretoriacreas@itapecerica.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itatiaiuçu,CREAS Itatiaiuçu,CREAS,"Praça Antonio Quirino da Silva, 330",Centro,35685-000,(31) 971880175,coordenacaocreas@itatiaiucu.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itaú de Minas,CREAS Itaú de Minas,CREAS,"Avenida Engenheiro Manoel Batista, 353",Centro,37975-000,(35) 999240297,creas@itaudeminas.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itaúna,CREAS Itaúna,CREAS,"Rua José Lara de Oliveira, 20",Lourdes,35680-898,(37) 32499231,creas@itauna.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Itinga,CREAS Laços de Esperança (Itinga),CREAS,"Avenida Brasil, 355",Planalto,39610-000,(33) 37331616,creas@itinga.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ituiutaba,CREAS Ituiutaba,CREAS,"Avenida 15 c 24 e 26, 720",Centro,38300-134,(34) 32718214,creasituiutaba@yahoo.com.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Iturama,CREAS Dr. Gabriel Pereira Lopes (Iturama),CREAS,"Rua Ituiutaba, 1056",Centro,38280-000,(34) 998754512,creas@iturama.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Jacuí,CREAS Alvina Baquião dos Reis (Jacuí),CREAS,"Praça São Carlos, 461",São Carlos,37965-000,(35) 98081732,social@jacui.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Jacutinga,CREAS Amadeu Benedito Sales (Jacutinga),CREAS,"Praça dos Andradas, 131",Centro,37590-000,(35) 34434020,jacutinga.creas@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Jaíba,CREAS Jaíba,CREAS,"Rua Brasília, 281",Centro,39508-000,(38) 998700152,creas@jaiba.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Jampruca,CREAS Jampruca,CREAS,"Rua Emilia Duarte, 97",Centro,39837-000,(33) 998053756,creas@jampruca.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Janaúba,CREAS Janaúba,CREAS,"Rua Genésio Cangussu, 585",Veredas,39440-000,(38) 991612642,creas@janauba.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Januária,CREAS Januaria/MG (Januária),CREAS,"Rua Marcolina M. Batista Nunes da Costa, 50",Joventina Mesquita,39480-000,(38) 998526488,creasjanuaria@yahoo.com.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Japaraíba,CREAS Japaraíba,CREAS,"Rua José Evangelista Sobrinho, 64",Centro,35580-000,(37) 33541442,psejaparaiba@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Japonvar,CREAS Japonvar,CREAS,"Rua dos Militares, 77",Centro,39335-000,(38) 32319112,sdeassistenciasocial@yahoo.com.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Jequitinhonha,CREAS Jequitinhonha,CREAS,"Rua Felipe dos Santos, 310",Unicampo,39960-000,(33) 37411826,creas@jequitinhonha.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
João Monlevade,CREAS João Monlevade,CREAS,"Rua kennedy, 110",Nossa Senhora da Conceição,35930-034,(31) 38590627,pmjm.creas@hotmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
João Pinheiro,CREAS / Peti (João Pinheiro),CREAS,"Rua Paulo Afonso, 340",Esplanada,38770-000,(38) 33611969,creasjoaopinheiro@yahoo.com.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Juatuba,CREAS Juatuba,CREAS,"Rua wenzel huber, 63",Varginha,35675-000,(31) 35355359,creasjuatuba@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Juiz de Fora,CREAS Centro 1 (Juiz de Fora),CREAS,"Avenida Barão do Rio Branco, 1843",Centro,36013-020,(32) 984492069,creascentro1@pjf.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Juiz de Fora,CREAS Centro 2 (Juiz de Fora),CREAS,"Avenida Barão do Rio Branco, 1843",Centro,36013-020,(32) 36908275,creascentro2@pjf.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Juiz de Fora,CREAS Norte (Juiz de Fora),CREAS,"Rua Antônio Lagrota, 46",Mariano Procópio,36035-020,(32) 32233491,creasnorte@pjf.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ladainha,CREAS Ladainha,CREAS,"Rua Monsenhor Otaviano, 147",Centro,39825-000,(33) 999318260,creasladainha1@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Lagoa da Prata,CREAS Lagoa da Prata,CREAS,"Rua Alagoas, 353",Marília,35592-198,(37) 32614761,creaslagoadaprata@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Lagoa dos Patos,CREAS Lagoa dos Patos,CREAS,"Rua Sao Jose, 190",Centro,39360-000,(38) 34260401,lagoadospatoscreas@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Lagoa Santa,CREAS Centro (Lagoa Santa),CREAS,"Rua Nossa Senhora da Saúde, 40",Centro,33230-130,(31) 36881492,creas@lagoasanta.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Laranjal,CREAS Antonio Manoel de Souza (Laranjal),CREAS,"Rua João Cassimiro de Souza, 214",Centro,36760-000,(32) 34241388,creaslaranjal@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Lavras,CREAS Lavras,CREAS,"Avenida Padre Dehon, 477",Centenário,37203-602,(35) 36944152,creas.docs@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Leopoldina,CREAS Carmélia Pires de Carvalho (Leopoldina),CREAS,Rua Lindolfo Pinheiro,Chácara Dona Euzébia,36700-000,(32) 34415563,creasleopoldina@yahoo.com.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Lima Duarte,CREAS Lima Duarte,CREAS,"Rua Tancredo Alves, 111",Centro,36140-000,(32) 32811936,creaslimaduarte@yahoo.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Luisburgo,CREAS Gilberto Ramos Faria (Luisburgo),CREAS,"Rua Abilio de Souza Portes, 72",Centro,36923-000,(33) 988799853,creasluisburgo@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Luislândia,CREAS Luislândia,CREAS,"Avenida Anesio Botelho, 112",Centro,39336-000,(38) 32316148,creas@luislandia.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Luz,CREAS Luz,CREAS,"Rua Moema, 963",Monsenhor Parreiras,35595-000,(37) 34212252,creasluz@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Machacalis,CREAS Machacalis,CREAS,"Rua Salvador, 305",Centro,39873-000,(33) 999859763,maxakacreas@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Machado,CREAS Machado,CREAS,"Rua Major Feliciano, 849",Centro,37750-000,(35) 32952487,creas_protecao@machado.mg.gov.br,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
Malacacheta,CREAS Malacacheta - Espaço Aliança (Malacacheta),CREAS,"Rua Tristão Aarão Couy, 351",Centro,39690-000,(33) 35141716,creas.malacacheta@gmail.com,,creas,MDS/SAGI/CadSUAS (extração 28/06/2026)
